,movie,rating
359,National Lampoon's Christmas Vacation,PG-13
360,"Honey, I Shrunk the Kids",PG
361,Field of Dreams,PG
362,Bill & Ted's Excellent Adventure,PG
363,Kiki's Delivery Service,G
364,Born on the Fourth of July,R
365,Tango & Cash,R
366,Driving Miss Daisy,PG
367,Licence to Kill,PG-13
368,Pet Sematary,R
369,Say Anything...,PG-13
370,Uncle Buck,PG
371,Do the Right Thing,R
372,Look Who's Talking,PG-13
373,The 'Burbs,PG
374,My Left Foot,R
375,Turner & Hooch,PG
376,Major League,R
377,Road House,R
378,Star Trek V: The Final Frontier,PG
379,Crimes and Misdemeanors,PG-13
380,Black Rain,R
381,Kickboxer,R
382,"Sex, Lies, and Videotape",R
383,The War of the Roses,R
384,Weekend at Bernie's,PG-13
385,"See No Evil, Hear No Evil",R
386,The Karate Kid Part III,PG
387,Steel Magnolias,PG
388,Parenthood,PG-13
389,A Nightmare on Elm Street 5: The Dream Child,R
390,Lock Up,R
391,Sea of Love,R
392,Goodfellas,R
393,Edward Scissorhands,PG-13
394,Home Alone,PG
395,Back to the Future Part III,PG
396,The Godfather: Part III,R
397,Die Hard 2,R
398,Total Recall,R
399,Pretty Woman,R
400,Dances with Wolves,PG-13
401,Ghost,PG-13
402,The Hunt for Red October,PG
403,Misery,R
404,Predator 2,R
405,Kindergarten Cop,PG-13
406,Miller's Crossing,R
407,Rocky V,PG-13
408,Awakenings,PG-13
409,Tremors,PG-13
410,Jacob's Ladder,R
411,Teenage Mutant Ninja Turtles,PG
412,RoboCop 2,R
413,Flatliners,R
414,Wild at Heart,R
415,Days of Thunder,PG-13
416,La Femme Nikita,R
417,Arachnophobia,PG-13
418,Darkman,R
419,Child's Play 2,R
420,Bird on a Wire,PG-13
421,Night of the Living Dead,R
422,Another 48 Hrs.,R
423,Presumed Innocent,R
424,Joe Versus the Volcano,PG
425,Young Guns II,PG-13
426,Mermaids,PG-13
427,The Silence of the Lambs,R
428,Terminator 2,R
429,Beauty and the Beast,G
430,Hook,PG
431,Robin Hood: Prince of Thieves,PG-13
432,Cape Fear,R
433,Point Break,R
434,JFK,R
435,Thelma & Louise,R
436,The Addams Family,PG-13
437,Boyz n the Hood,R
438,Barton Fink,R
